Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Sodium molybdate,,Na2MoO4,7631-95-0,205.92,col cub cry,687,,3.5,65.025,,Mo,0.465915565217
Sodium molybdate,,Na2MoO4,7631-95-0,205.92,col cub cry,687,,3.5,65.025,,Na,0.223291460252
Sodium molybdate,,Na2MoO4,7631-95-0,205.92,col cub cry,687,,3.5,65.025,,O,0.310792974531
Sodium molybdate dihydrate,,Na2MoO4+2H2O,10102-40-6,241.95,cry powder,100 dec,,3.5,65.025,,H,0.0166637666901
Sodium molybdate dihydrate,,Na2MoO4+2H2O,10102-40-6,241.95,cry powder,100 dec,,3.5,65.025,,Mo,0.396531980139
Sodium molybdate dihydrate,,Na2MoO4+2H2O,10102-40-6,241.95,cry powder,100 dec,,3.5,65.025,,Na,0.190039164802
Sodium molybdate dihydrate,,Na2MoO4+2H2O,10102-40-6,241.95,cry powder,100 dec,,3.5,65.025,,O,0.39676508837
Sodium molybdophosphate,Sodium phosphomolybdate,Na3PO4+12MoO3,1313-30-0,1891.2,hyg solid,,,2.83,,,Mo,0.608756644586
Sodium molybdophosphate,Sodium phosphomolybdate,Na3PO4+12MoO3,1313-30-0,1891.2,hyg solid,,,2.83,,,Na,0.0364685605761
Sodium molybdophosphate,Sodium phosphomolybdate,Na3PO4+12MoO3,1313-30-0,1891.2,hyg solid,,,2.83,,,O,0.338396951546
Sodium molybdophosphate,Sodium phosphomolybdate,Na3PO4+12MoO3,1313-30-0,1891.2,hyg solid,,,2.83,,,P,0.0163778432921
Sodium niobate,,NaNbO3,12034-09-2,163.894,rhom cry,1422,,4.55,,,Na,0.14027188479
Sodium niobate,,NaNbO3,12034-09-2,163.894,rhom cry,1422,,4.55,,,Nb,0.566867499753
Sodium niobate,,NaNbO3,12034-09-2,163.894,rhom cry,1422,,4.55,,,O,0.292860615457
Sodium nitrate,Chile saltpeter,NaNO3,7631-99-4,84.995,col hex cry; hyg,306.5,,2.261,91.225,,N,0.164795040897
Sodium nitrate,Chile saltpeter,NaNO3,7631-99-4,84.995,col hex cry; hyg,306.5,,2.261,91.225,,Na,0.270484837164
Sodium nitrate,Chile saltpeter,NaNO3,7631-99-4,84.995,col hex cry; hyg,306.5,,2.261,91.225,,O,0.564720121939
Sodium nitrite,,NaNO2,7632-00-0,68.996,wh orth cry; hyg,284,>320 dec,2.17,84.825,,N,0.203009570745
Sodium nitrite,,NaNO2,7632-00-0,68.996,wh orth cry; hyg,284,>320 dec,2.17,84.825,,Na,0.333207907149
Sodium nitrite,,NaNO2,7632-00-0,68.996,wh orth cry; hyg,284,>320 dec,2.17,84.825,,O,0.463782522105
Sodium nitroferricyanide dihydrate,Sodium nitroprusside dihydrate,Na2(Fe(CN)5NO)+2H2O,13755-38-9,297.949,red cry,,,1.72,4016.0,,C,0.201556848775
Sodium nitroferricyanide dihydrate,Sodium nitroprusside dihydrate,Na2(Fe(CN)5NO)+2H2O,13755-38-9,297.949,red cry,,,1.72,4016.0,,Fe,0.187431910211
Sodium nitroferricyanide dihydrate,Sodium nitroprusside dihydrate,Na2(Fe(CN)5NO)+2H2O,13755-38-9,297.949,red cry,,,1.72,4016.0,,H,0.0135317482015
Sodium nitroferricyanide dihydrate,Sodium nitroprusside dihydrate,Na2(Fe(CN)5NO)+2H2O,13755-38-9,297.949,red cry,,,1.72,4016.0,,N,0.282063125087
