Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Target,mass_frac
Potassium nitrate,Saltpeter,KNO3,7757-79-1,101.103,col orth cry or powder,334,400 dec,2.105,38.325,O,0.474744617381
Potassium nitrite,,KNO2,7758-09-0,85.104,wh hyg cry,438,537 exp,1.915,31225.0,K,0.459418968366
Potassium nitrite,,KNO2,7758-09-0,85.104,wh hyg cry,438,537 exp,1.915,31225.0,N,0.164583720116
Potassium nitrite,,KNO2,7758-09-0,85.104,wh hyg cry,438,537 exp,1.915,31225.0,O,0.375997311518
Potassium oxide,Potassium monoxide,K2O,12136-45-7,94.196,gray cub cry,740,,2.35,,K,0.830147776976
Potassium oxide,Potassium monoxide,K2O,12136-45-7,94.196,gray cub cry,740,,2.35,,O,0.169852223024
Potassium perchlorate,,KClO4,7778-74-7,138.549,col orth cry; hyg,525,,2.52,2.0825,Cl,0.255887993337
Potassium perchlorate,,KClO4,7778-74-7,138.549,col orth cry; hyg,525,,2.52,2.0825,K,0.282198559498
Potassium perchlorate,,KClO4,7778-74-7,138.549,col orth cry; hyg,525,,2.52,2.0825,O,0.461913447166
Potassium periodate,,KIO4,7790-21-8,230.001,col tetr cry,582,exp,3.618,0.5125,I,0.551757677607
Potassium periodate,,KIO4,7790-21-8,230.001,col tetr cry,582,exp,3.618,0.5125,K,0.16999233523
Potassium periodate,,KIO4,7790-21-8,230.001,col tetr cry,582,exp,3.618,0.5125,O,0.278249987163
Potassium permanganate,,KMnO4,7722-64-7,158.034,purp orth cry,dec,,2.7,7.6025,K,0.247404442128
Potassium permanganate,,KMnO4,7722-64-7,158.034,purp orth cry,dec,,2.7,7.6025,Mn,0.347634459166
Potassium permanganate,,KMnO4,7722-64-7,158.034,purp orth cry,dec,,2.7,7.6025,O,0.404961098706
Potassium persulfate,Potassium peroxydisulfate,K2S2O8,7727-21-1,270.322,col cry,≈100 dec,,2.48,4.72,K,0.28927226735
Potassium persulfate,Potassium peroxydisulfate,K2S2O8,7727-21-1,270.322,col cry,≈100 dec,,2.48,4.72,O,0.473491964022
Potassium persulfate,Potassium peroxydisulfate,K2S2O8,7727-21-1,270.322,col cry,≈100 dec,,2.48,4.72,S,0.237235768628
Rubidium,,Rb,7440-17-7,85.468,soft silv metal; cub,39.30,688,1.53,,Rb,1.0
Rubidium azide,,RbN3,22756-36-1,127.488,tetr cry; exp,317,,2.79,10716.0,N,0.329600691517
Rubidium azide,,RbN3,22756-36-1,127.488,tetr cry; exp,317,,2.79,10716.0,Rb,0.670399308483
Rubidium bromate,,RbBrO3,13446-70-3,213.37,cub cry,430,,3.68,2.9525,Br,0.374485635281
Rubidium bromate,,RbBrO3,13446-70-3,213.37,cub cry,430,,3.68,2.9525,O,0.224952898721
Rubidium bromate,,RbBrO3,13446-70-3,213.37,cub cry,430,,3.68,2.9525,Rb,0.400561465998
Rubidium chlorate,,RbClO3,13446-71-4,168.919,col cry,324,dec 480,3.19,6.6325,Cl,0.209881659257
Rubidium chlorate,,RbClO3,13446-71-4,168.919,col cry,324,dec 480,3.19,6.6325,O,0.284149207608
Rubidium chlorate,,RbClO3,13446-71-4,168.919,col cry,324,dec 480,3.19,6.6325,Rb,0.505969133135
Rubidium cyanide,,RbCN,19073-56-4,111.486,wh cub cry,,,2.3,,C,0.107733582574
Rubidium cyanide,,RbCN,19073-56-4,111.486,wh cub cry,,,2.3,,N,0.125637304324
Rubidium cyanide,,RbCN,19073-56-4,111.486,wh cub cry,,,2.3,,Rb,0.766629113102
Rubidium fluoride,,RbF,13446-74-7,104.466,wh cub cry; hyg,795,1410,3.2,30020.0,F,0.181861718126
Rubidium fluoride,,RbF,13446-74-7,104.466,wh cub cry; hyg,795,1410,3.2,30020.0,Rb,0.818138281874
Rubidium fluoroborate,,RbBF4,18909-68-7,172.273,orth cry,612 dec,,2.82,,B,0.0627552596744
Rubidium fluoroborate,,RbBF4,18909-68-7,172.273,orth cry,612 dec,,2.82,,F,0.441124679018
Rubidium fluoroborate,,RbBF4,18909-68-7,172.273,orth cry,612 dec,,2.82,,Rb,0.496120061308
Rubidium hydride,,RbH,13446-75-8,86.476,wh cub cry; flam,≈170 dec,,2.6,,H,0.0116557545504
Rubidium hydride,,RbH,13446-75-8,86.476,wh cub cry; flam,≈170 dec,,2.6,,Rb,0.98834424545
Rubidium hydrogen fluoride,Rubidium bifluoride,RbHF2,12280-64-7,124.473,tetr cry,188,,3.3,,F,0.30526254583
Rubidium hydrogen fluoride,Rubidium bifluoride,RbHF2,12280-64-7,124.473,tetr cry,188,,3.3,,H,0.00809768924274
Rubidium hydrogen fluoride,Rubidium bifluoride,RbHF2,12280-64-7,124.473,tetr cry,188,,3.3,,Rb,0.686639764927
Rubidium hydrogen sulfate,Rubidium bisulfate,RbHSO4,15587-72-1,182.539,col monocl cry,208,,2.9,,H,0.0055217988725
Rubidium hydrogen sulfate,Rubidium bisulfate,RbHSO4,15587-72-1,182.539,col monocl cry,208,,2.9,,O,0.350598126399
Rubidium hydrogen sulfate,Rubidium bisulfate,RbHSO4,15587-72-1,182.539,col monocl cry,208,,2.9,,Rb,0.468218347992
Rubidium hydrogen sulfate,Rubidium bisulfate,RbHSO4,15587-72-1,182.539,col monocl cry,208,,2.9,,S,0.175661726736
Rubidium hydroxide,,RbOH,1310-82-3,102.475,gray-wh orth cry; hyg,385,,3.2,17330.0,H,0.0098359465525
Rubidium hydroxide,,RbOH,1310-82-3,102.475,gray-wh orth cry; hyg,385,,3.2,17330.0,O,0.156129574451
Rubidium hydroxide,,RbOH,1310-82-3,102.475,gray-wh orth cry; hyg,385,,3.2,17330.0,Rb,0.834034478997
Rubidium iodate,,RbIO3,13446-76-9,260.37,monocl or cub cry,dec,,4.33,2.4425,I,0.487399627154
Rubidium iodate,,RbIO3,13446-76-9,260.37,monocl or cub cry,dec,,4.33,2.4425,O,0.184345790058
